id,station_na,sensor_typ,latitude,longitude,region,region_sub,station_no
"22479",맹방,Costal_wave_buoy,37.401666669999997,129.229166700000007,"5","1","22479"
"22490",월포,Costal_wave_buoy,36.216944439999999,129.401666699999993,"5","1","22490"
"22519",고성,Costal_wave_buoy,38.317222219999998,128.639166700000004,"5","1","22519"
"22520",강릉,Costal_wave_buoy,37.798333329999998,129.060833300000013,"5","1","22520"
"22521",삼척,Costal_wave_buoy,37.401666669999997,129.446666700000009,"5","1","22521"
"22523",죽변,Costal_wave_buoy,37.102777779999997,129.459444399999995,"5","1","22523"
"22524",구룡포,Costal_wave_buoy,35.967777779999999,129.598611099999999,"5","1","22524"
"22108",외연도,Buoy,36.250000000000000,125.750000000000000,"1","2","22108"
"22185",인천,Buoy,37.091666670000002,125.428888900000004,"1","2","22185"
"22102",칠발도,Buoy,34.793333330000003,125.776944400000005,"2","2","22102"
"22186",부안,Buoy,35.658611110000002,125.813888899999995,"2","2","22186"
"22297",가거도,Buoy,34.027500000000003,125.214722199999997,"2","2","22297"
"22298",홍도,Buoy,34.746666670000003,125.245555600000003,"2","2","22298"
"957",십이동파,Light_house_aws,35.983333330000001,126.216666700000005,"2","2","957"
"22103",거문도,Buoy,34.001388890000001,127.501388899999995,"3","2","22103"
"22107",마라도,Buoy,33.083333330000002,126.033333299999995,"3","2","22107"
"22184",추자도,Buoy,33.793611110000001,126.141111100000003,"3","2","22184"
"22187",서귀포,Buoy,33.128055560000000,127.022777800000000,"3","2","22187"
"22188",통영,Buoy,34.391666669999999,128.224999999999994,"3","2","22188"
"960",지귀도,Light_house_aws,33.223333330000003,126.654166700000005,"3","2","960"
"961",간여암,Light_house_aws,34.284999999999997,127.857777799999994,"3","2","961"
"22457",제주항,Costal_wave_buoy,33.525277780000003,126.493888900000002,"3","2","22457"
"22458",중문,Costal_wave_buoy,33.225277779999999,126.393055599999997,"3","2","22458"
"22468",추자도,Costal_wave_buoy,33.793611110000001,126.141111100000003,"3","2","22468"
"22469",우도,Costal_wave_buoy,33.522222220000003,126.966666700000005,"3","2","22469"
"22476",가파도,Costal_wave_buoy,33.162777779999999,126.263888899999998,"3","2","22476"
"22481",맹골수도,Costal_wave_buoy,34.226111109999998,125.954722200000006,"3","2","22481"
"22486",협재,Costal_wave_buoy,33.400555560000001,126.209166699999997,"3","2","22486"
"22491",김녕,Costal_wave_buoy,33.581666669999997,126.763611100000006,"3","2","22491"
"22495",신산,Costal_wave_buoy,33.377777780000002,126.905833299999998,"3","2","22495"
"22505",영락,Costal_wave_buoy,33.238611110000001,126.194722200000001,"3","2","22505"
"22507",초도,Costal_wave_buoy,34.151111110000002,127.218055600000000,"3","2","22507"
"22514",구엄,Costal_wave_buoy,33.262777780000000,126.496111099999993,"3","2","22514"
"22515",위미,Costal_wave_buoy,33.424722220000000,126.674722200000005,"3","2","22515"
"22516",신창,Costal_wave_buoy,33.019166669999997,126.543888899999999,"3","2","22516"
"22517",하도,Costal_wave_buoy,33.549999999999997,126.916666699999993,"3","2","22517"
"22104",거제도,Buoy,34.766666669999999,128.900000000000006,"4","2","22104"
"22189",울산,Buoy,35.345277780000004,129.841388899999998,"4","2","22189"
"21229",울릉도,Buoy,37.450000000000003,131.099999999999994,"5","2","21229"
"22105",동해,Buoy,37.480555559999999,129.949999999999989,"5","2","22105"
"22106",포항,Buoy,36.350000000000001,129.783333300000010,"5","2","22106"
"22190",울진,Buoy,36.906944439999997,129.874444399999987,"5","2","22190"
"22302",동해78,Buoy,36.966666670000002,130.516666700000002,"5","2","22302"
"22442",혈암,Costal_wave_buoy,37.541388890000000,130.854166700000007,"5","2","22442"
"22443",구암,Costal_wave_buoy,37.478888890000000,130.804444399999994,"5","2","22443"
"22464",울릉읍,Costal_wave_buoy,37.471388890000000,130.900277799999998,"5","2","22464"
"22506",울릉서부,Costal_wave_buoy,37.433333330000004,130.500000000000000,"5","2","22506"
